start_lat,start_lon,end_lat,end_lon,count
39.9625,-75.1742,39.97522,-75.18669,115
39.95316,-75.16551,39.94781,-75.19409,37
39.99119,-75.17975,39.97207,-75.16351,4
39.95005,-75.15672,39.98062,-75.1735,3
39.95425,-75.17761,39.96062,-75.13983,89
39.93231,-75.18154,39.95708,-75.20177,16
39.95923,-75.17036,39.94733,-75.14403,29
39.93724,-75.1612,39.97263,-75.16757,1
39.97207,-75.16351,39.95511,-75.20987,3
39.97888,-75.13339,39.94019,-75.16691,2
39.96411,-75.19973,39.98078,-75.15055,3
39.9522,-75.20311,39.95355,-75.17192,33
39.94732,-75.15695,39.94517,-75.15993,180
39.95316,-75.16551,39.95295,-75.13979,59
39.94517,-75.15993,39.93935,-75.15716,208
39.98082,-75.14973,39.96818,-75.18034,4
39.95012,-75.14472,39.94509,-75.1425,116
39.95373,-75.21825,39.93549,-75.16711,18
39.94781,-75.19409,39.95576,-75.18982,127
39.95923,-75.17036,39.9538,-75.19479,51
39.98003,-75.14371,39.97888,-75.13339,106
39.94391,-75.16735,39.94509,-75.1425,70
39.97765,-75.21295,39.9522,-75.20311,7
39.97888,-75.13339,39.96652,-75.12996,24
39.94732,-75.15695,39.98005,-75.15522,22
39.94218,-75.17747,39.97207,-75.16351,4
39.94781,-75.19409,39.95866,-75.21323,57
39.97469,-75.19562,39.93401,-75.15094,1
39.95886,-75.17369,39.94887,-75.18986,183
39.95576,-75.18982,39.96664,-75.19209,77
39.9539,-75.16902,39.95708,-75.20177,146
39.94019,-75.16691,39.94217,-75.1775,19
39.96849,-75.13546,39.95424,-75.16138,50
39.95576,-75.18982,39.97469,-75.19562,17
39.96716,-75.17001,39.94887,-75.18986,304
39.93935,-75.15716,39.95472,-75.18323,107
39.9384,-75.17327,39.94527,-75.17971,216
39.95273,-75.15979,39.94711,-75.16618,277
39.99119,-75.17975,39.94781,-75.19409,3
39.98771,-75.18052,39.94792,-75.16237,2
39.96818,-75.18034,39.94218,-75.17747,33
39.98771,-75.18052,39.99179,-75.18637,46
39.96289,-75.16606,39.95355,-75.17192,42
39.96442,-75.17999,39.97804,-75.2122,23
39.95576,-75.18982,39.97274,-75.17939,45
39.94822,-75.20908,39.98203,-75.18866,3
39.93935,-75.15716,39.95923,-75.17036,45
39.95048,-75.17286,39.93401,-75.15094,174
39.94217,-75.1775,39.94517,-75.15993,31
39.95866,-75.21323,39.94138,-75.14564,4
39.95355,-75.17192,39.95373,-75.21825,9
39.98837,-75.18701,39.9625,-75.1742,5
39.95378,-75.16374,39.96289,-75.16606,125
39.97274,-75.17939,39.94561,-75.17348,13
39.96849,-75.13546,39.97888,-75.13339,77
39.94509,-75.1425,39.98082,-75.14973,2
39.93724,-75.1612,39.98078,-75.15055,2
39.95197,-75.17943,39.97765,-75.21295,3
39.93315,-75.16248,39.93401,-75.15094,55
39.94561,-75.17348,39.95403,-75.14983,28
39.95378,-75.16374,39.9522,-75.20311,50
39.96984,-75.1418,39.95355,-75.17192,9
39.95112,-75.15457,39.95112,-75.15457,333
39.95355,-75.17192,39.96143,-75.15242,7
39.93401,-75.15094,39.93431,-75.16042,22
39.96143,-75.15242,39.93549,-75.16711,11
39.9625,-75.1742,39.96818,-75.18034,844
39.96892,-75.1547,39.95273,-75.15979,25
39.95197,-75.17943,39.94138,-75.14564,24
39.93549,-75.16711,39.95048,-75.17286,255
39.94781,-75.19409,39.93231,-75.18154,7
39.94218,-75.17747,39.94781,-75.19409,290
