station_id	total_num_rides	std_rides	station_lat	station_lon	start_num_rides	end_num_rides	st_per_in	ed_per_in	st_per_out	ed_per_out	ttl_per
3075	8879	-0.37	39.96718	-75.16125	4917	3962	55.40%	44.60%	0.75%	0.61%	0.68%
3074	9727	-0.28	39.95511	-75.20987	5077	4650	52.20%	47.80%	0.78%	0.72%	0.75%
3073	9156	-0.34	39.96143	-75.15242	4549	4607	49.70%	50.30%	0.69%	0.71%	0.70%
3072	9152	-0.34	39.93445	-75.14541	4357	4795	47.60%	52.40%	0.67%	0.74%	0.70%
3071	7916	-0.47	39.96173	-75.18788	4470	3446	56.50%	43.50%	0.68%	0.53%	0.61%
3070	9122	-0.34	39.96062	-75.13983	4419	4703	48.40%	51.60%	0.67%	0.72%	0.70%
3069	14733	0.24	39.93704	-75.15038	7347	7386	49.90%	50.10%	1.12%	1.14%	1.13%
3068	14368	0.2	39.93549	-75.16711	7273	7095	50.60%	49.40%	1.11%	1.09%	1.10%
3067	2389	-1.04	39.96411	-75.19973	1288	1101	53.90%	46.10%	0.20%	0.17%	0.18%
3066	18976	0.68	39.94561	-75.17348	9999	8977	52.70%	47.30%	1.53%	1.38%	1.45%
3065	2325	-1.04	39.9707	-75.15171	1279	1046	55.00%	45.00%	0.20%	0.16%	0.18%
3064	13943	0.16	39.9384	-75.17327	6938	7005	49.80%	50.20%	1.06%	1.08%	1.07%
3063	21132	0.9	39.94633	-75.1698	10843	10289	51.30%	48.70%	1.66%	1.58%	1.62%
3062	14871	0.25	39.95197	-75.17943	7212	7659	48.50%	51.50%	1.10%	1.18%	1.14%
3061	23111	1.1	39.95425	-75.17761	11314	11797	49.00%	51.00%	1.73%	1.81%	1.77%
3060	12915	0.05	39.95923	-75.17036	6183	6732	47.90%	52.10%	0.94%	1.04%	0.99%
3059	13344	0.09	39.96265	-75.16174	7136	6208	53.50%	46.50%	1.09%	0.95%	1.02%
