cartodb_id,end_num_rides,start_num_rides,total_num_rides,ttl_per,ed_per_out,st_per_out,ed_per_in,st_per_in,station_id,station_lon,station_lat,std_rides,the_geom
57,6448,6703,13151,1.01%,0.99%,1.02%,49.00%,51.00%,3055,-75.15457,39.95112,0.07,0101000020E610000056BC9179E4C952C02849D74CBEF94340
58,9742,9554,19296,1.48%,1.50%,1.46%,50.50%,49.50%,3054,-75.1742,39.9625,0.71,0101000020E6100000A5BDC11726CB52C03333333333FB4340
59,4357,4609,8966,0.69%,0.67%,0.70%,48.60%,51.40%,3053,-75.18154,39.93231,-0.36,0101000020E61000009DBAF2599ECB52C0ECDD1FEF55F74340
60,12084,12159,24243,1.86%,1.86%,1.86%,49.80%,50.20%,3052,-75.15695,39.94732,1.22,0101000020E6100000DC4603780BCA52C0616C21C841F94340
61,8076,9504,17580,1.35%,1.24%,1.45%,45.90%,54.10%,3051,-75.17507,39.96744,0.53,0101000020E6100000B020CD5834CB52C0CF6BEC12D5FB4340
62,7321,7103,14424,1.11%,1.13%,1.08%,50.80%,49.20%,3050,-75.15426,39.95339,0.21,0101000020E61000002EC55565DFC952C0AE2AFBAE08FA4340
63,6182,5335,11517,0.88%,0.95%,0.81%,53.70%,46.30%,3049,-75.1425,39.94509,-0.09,0101000020E610000085EB51B81EC952C069E388B5F8F84340
64,9618,9196,18814,1.44%,1.48%,1.40%,51.10%,48.90%,3047,-75.14921,39.95071,0.66,0101000020E61000001D8F19A88CC952C076FD82DDB0F94340
65,9567,9087,18654,1.43%,1.47%,1.39%,51.30%,48.70%,3046,-75.14472,39.95012,0.64,0101000020E6100000F0C4AC1743C952C044A33B889DF94340
66,18189,17850,36039,2.76%,2.80%,2.73%,50.50%,49.50%,3045,-75.16237,39.94792,2.44,0101000020E61000007FF6234564CA52C0B79C4B7155F94340
67,4140,4064,8204,0.63%,0.64%,0.62%,50.50%,49.50%,3043,-75.17474,39.93082,-0.44,0101000020E61000006553AEF02ECB52C03A3B191C25F74340
68,4863,4026,8889,0.68%,0.75%,0.61%,54.70%,45.30%,3041,-75.13546,39.96849,-0.37,0101000020E6100000A27A6B60ABC852C06440F67AF7FB4340
69,6302,8218,14520,1.11%,0.97%,1.25%,43.40%,56.60%,3040,-75.16606,39.96289,0.22,0101000020E61000001F4B1FBAA0CA52C09ED2C1FA3FFB4340
70,4384,5347,9731,0.75%,0.67%,0.82%,45.10%,54.90%,3039,-75.1597,39.97121,-0.28,0101000020E6100000F54A598638CA52C02AC6F99B50FC4340
71,7065,7648,14713,1.13%,1.09%,1.17%,48.00%,52.00%,3038,-75.19409,39.94781,0.24,0101000020E6100000C39E76F86BCC52C02F698CD651F94340
72,7138,6757,13895,1.06%,1.10%,1.03%,51.40%,48.60%,3037,-75.16138,39.95424,0.15,0101000020E61000009F8EC70C54CA52C07C444C8924FA4340
73,3328,2949,6277,0.48%,0.51%,0.45%,53.00%,47.00%,3036,-75.14001,39.96844,-0.64,0101000020E61000003BC780ECF5C852C0B21188D7F5FB4340
74,3090,4355,7445,0.57%,0.48%,0.66%,41.50%,58.50%,3035,-75.19419,39.96271,-0.52,0101000020E610000075CDE49B6DCC52C01EC4CE143AFB4340
75,9022,8117,17139,1.31%,1.39%,1.24%,52.60%,47.40%,3034,-75.16248,39.93315,0.49,0101000020E61000004390831266CA52C096218E7571F74340
